time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-20T00:39:44.080Z,19.4131667,-155.266,0.33,3.65,ml,30,68,0.005878,0.12,hv,hv70447762,2018-10-04T14:15:28.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.12,0.11,0.146,17,reviewed,hv,hv
2018-07-29T22:07:22.430Z,19.3911667,-155.2743333,-0.26,3.65,ml,20,44,0.00423,0.11,hv,hv70495007,2018-10-09T16:43:26.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.12,0.19,0.167,24,reviewed,hv,hv
2018-07-19T22:38:58.290Z,19.4155,-155.2748333,0.24,3.64,ml,25,42,0.009004,0.1,hv,hv70447357,2021-03-01T21:48:36.081Z,"5 km SW of Volcano, Hawaii",earthquake,0.11,0.1,0.171,42,reviewed,hv,hv
2018-07-11T11:05:15.580Z,19.4188333,-155.2736667,0.21,3.63,ml,25,36,0.006958,0.1,hv,hv70397051,2018-10-02T16:40:34.040Z,"4 km WSW of Volcano, Hawaii",earthquake,0.11,0.13,0.199,11,reviewed,hv,hv
2018-07-11T15:27:00.680Z,19.4183333,-155.2796667,0.5,3.63,ml,35,35,0.004234,0.14,hv,hv70397961,2019-02-14T00:25:12.304Z,"5 km WSW of Volcano, Hawaii",earthquake,0.16,0.09,0.177,42,reviewed,hv,hv
2018-07-12T21:56:16.710Z,19.4188333,-155.2746667,0.28,3.63,ml,22,40,0.006506,0.09,hv,hv70413867,2018-10-02T16:40:36.040Z,"Island of Hawaii, Hawaii",earthquake,0.13,0.15,0.187,9,reviewed,hv,hv
2018-07-13T20:38:56.000Z,19.3703333,-154.9735,5.85,3.63,ml,9,210,0.0694,0.12,hv,hv70418152,2018-07-28T03:28:16.772Z,"12 km SSW of Leilani Estates, Hawaii",earthquake,0.99,2,0.173,18,reviewed,hv,hv
2018-07-28T01:10:13.180Z,19.3988333,-155.2771667,0.6,3.63,ml,30,39,0.00479,0.09,hv,hv70486307,2018-10-09T16:43:25.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.2,23,reviewed,hv,hv
2018-07-30T22:49:11.940Z,19.2963333333333,-155.240666666667,5.93,3.63,ml,9,135,,0.1,hv,hv70499832,2023-11-28T21:33:06.660Z,"16 km S of Volcano, Hawaii",earthquake,0.48,0.96,,1,reviewed,hv,hv
2018-07-15T06:58:01.180Z,19.3988333,-155.2681667,0.18,3.62,ml,35,45,0.002099,0.11,hv,hv70425232,2019-08-01T23:48:18.000Z,"6 km SW of Volcano, Hawaii",earthquake,0.11,0.09,0.079,10,reviewed,hv,hv
